title,date,content,link,place,query,category
Participatory Fodder Production in Mango Orchards in Karnataka,-,"Shrinking farm size has consequence in apportioning it for perennial fodder cultivation by farmers. Non competitive land use for fodder production is hence inevitable to meet fodder deficiency situation. Karnataka is one of the important mango (Mangifera indica L.) producing states of the country. Inter row spaces in prime fruiting mango orchards provide opportunity for cultivation of perennial fodder crops. The common mango planting distance followed is 10 m by 10 m giving minimum 7-8 m inter space for introducing fodder crops. Karnataka has an estimated 90,000 ha in prime fruiting mango crop which if put under fodder crops is estimated to produce 39.5 lakh tons of green fodder in a year meeting more than seven lakh livestock’s green fodder requirement round the year.  This potential niche area was exploited successfully for introduction of improved high yielding fodder crops through participatory mode. The process started with pilot activity in 2013-14 covering only five mango growers in an area of five acres. The reassuring response received was en-cashed by scaling up in 2014-15 by linking with livestock based voluntary organizations to shorten rapport building time, series of field oriented trainings to farmers enabling them to select fodder species as per their resource matrix, providing seeds and planting materials, reconnaissance and data collection on diverse parameters including farmer to farmer spread of these crops. In second year 25 mango growers of 11 villages of Karnataka cultivated fodder crops in inter spaces of mango orchards covering an area of 25.05 acres.  Three perennial grasses (Bajra Napier hybrid-BNH, Guinea-G, Perennial fodder sorghum-PS) intercropped with fodder cowpea (CP) were cultivated by 32% mango growers, two grasses (BNH+G) by 28%, BNH alone by 12% and  8% each two grasses (BNH+PS) or one grass and one legume (BNH+CP, PS+CP) and 4% cultivated two grasses intercropped with fodder cowpea.                             During the project period, intra-farmer spread of area under fodder crops in interspaces was 17 % by 24% participating farmers. The area under fodder crops was thus increased by 45% thus increasing total area under fodder crops to 36.4 acres from initial 25.05 acres. With the 5 acres in the initial pilot period, the total area brought under fodder crops in mango orchard stands at 41.4 acres. Participating farmers reported many benefits on themselves, on their livestock rearing and on mango orchard per se. On livestock rearing, decrease in feed cost (88%) and improvement in livestock health (84%) by feeding improved fodder was reported. It helped them to decrease feed cost by 44.20% and increased average milk yield by 0.93 litres saving 1.37 km of daily distance treading to collect fodder and one manday every day for the same purpose.   Reduction in orchard temperature (100%), weed intensity (92%), soil erosion (88%), pest (68%) and disease (64%) occurrence and improvement in water penetration (84%) were the benefits reported on mango orchard. Earlier, the participating farmers were experiencing shortage of about 22% green fodder and 17% dry fodder. The project interventions helped them not only to effectively mitigate this fodder shortage but surplus production was observed with many farmers. The average green fodder production obtained was 55.49 tons/ha across 2.7 cuts. Use of non competitive land of orchard crops for improved fodder production not only alleviates fodder deficiency, but brings multiple benefits to livestock farmers. (Source: ICAR-Indian Grassland and Fodder Research Institute ,Southern Regional Research Station, Dharwad-580 005, Karnataka) ",https://www.icar.org.in/node/2156,-,Mango,Agriculture
Technological Interventions Ensured Tribals’ Livelihood in mango orchards,-,"A significant proportion of tribals have been engaged in shifting cultivation, especially on high lands without soil conservation measures with a high level of soil erosion, in Kashipur block of Rayagada district of Odisha. The place is located in the interior of forest at 500 km away from the state capital, Bhubaneswar. This practice was leading to the loss of land productivity, soil fertility and decrease in carrying capacity of the available natural resources. These lands are best suited for tree based perennial horticultural crops, such as mango having commercial potential in the area. Though the State Government has been making efforts since long, but somehow the tribals could not realize the commercial value of the mango.  Lack of result demonstration, pest incidence in some of the existing orchards and absence of assured mango marketing channel were the key constraints in the way of mango cultivation. Central Horticultural Experiment Station of Indian Institute of Horticultural Research, with the aim to enhance the livelihood of rtibals, started work in the area with the help of some of the nontribal farmers having mango orchards. These farmers served as risk bearer, technology demonstrator and a link between tribals and research station. In existing orchards, nutrient management, fruit fly management, Hot Water Treatment (HWT), fruit packing and transportation, pre and post harvest interventions for healthy fruits were demonstrated. Meanwhile, the market channel was established to a distance of 500 km. This brought the confidence among tribals which paved the way for significant increase in mango acerage in the tribal villages. The motivated households were supported with technological interventions such as planting material supply, planting technology, soil management in sloppy land and social mobilization through village meetings. Mango farmers organized themselves under a society ‘Horticulture and Agriculture Related Panchayats Association for Livelihood’ (HARPAL). The neighborhood effect in tribal villages motivated 550 households for mango planting in 27 hamlets of eight Gram Panchayats, namely Kashipur, Sulgunja, Sunger, Taljhari, Chandragiri, Shankara, Kudipari and Manusgaon on an area of 1150 acres under high density mode (5 X 5 m) on unused foot hills, gentle hillocks and sloppy land. Interventions have reduced the soil erosion from high lands and significant fall in the tradition of shifting cultivation due to availability of alternative source of livelihood. Many orchards planted during the period have started fruiting and families are realizing handsome monetary benefit. The work done in the area has been acknowledged by the State Government of Odisha also.   Most of the present plantations have been done on sloppy land, the in situ soil and water conservation practices have been followed. Generally orchard soils are poor and have disadvantageous location, hence attempts have been made to introduce IIHR mango special in the area. All the fields are having high density plantation which need perfect canopy management strategies and area is prone to hoppers, stone weevil, fruit borer and fruit flies, hence, management techniques are being demonstrated and adopted. However, looking to the production volume, more number of hot water treatment plants are required. Developing facilities for collection and packaging infrastructure and developing new marketing channels outside the state especially in south India is being explored. The results indicated that technological interventions through result demonstrations, social mobilization and development of marketing channel inculcated confidence among tribals for mango enterprise. The multiplying impact of the success would be visible more apparently in near future, however, further technological backup is needed for converting this tribal area into a mango belt. The area has now been selected for implementation of tribal sub-plan by the CHES-IIHR. (Source: Central Horticultural Experiment Station-IIHR, Bhubaneswar, Orissa) ",https://www.icar.org.in/node/2262,-,Mango,Agriculture
‘Chinta Mango’ farmer’s variety registered in PPVFRA,14th May 2024,"ICAR-Central Island Agricultural Research Institute, Port Blair, Andaman & Nicobar Islands facilitated Shri. Chintaharan Biswas, a progressive mango farmer with 100 mango trees from Shaheed Dweep and supported him in registering his farmer variety, 'Chinta Mango,' with the Protection of Plant Varieties and Farmers' Rights Authority, New Delhi.      Chinta Mango is the first mango variety registered under the PPVFRA. Dr. Himanshu Pathak, Secretary (DARE) & Director General (ICAR), presented the certificate to Shri. Biswas during his recent visit to ICAR-CIARI, Port Blair. The Mango variety belongs to the species Mangifera indica, a cultivated mango species. The special feature of this genotype is the characteristic purple color in the peel at the unripened stage. ICAR-CIARI has made efforts for the morphological and biochemical characterization of this genotype. Fruits are large, and the individual fruit weight ranges from 300-400g. The fruits are delicious with yellow pulp, sweet with less fibre content and the average TSS recorded is 19.6oB. Another unique feature of this genotype is the occurrence of polyembryonic seedlings. This is an additional advantage of this mango as the purity of the genotype can be maintained by seed propagation. The phytochemical characterization of fruit pulp showed its richness in carotenoids, flavonoids, ascorbic acid, and antioxidant activity. The registration process was facilitated under the supervision of Dr. Eaknath B. Chakurkar, Director, ICAR-CIARI, Port Blair. (Source: ICAR-Central Island Agricultural Research Institute, Port Blair) ",https://www.icar.org.in/chinta-mango-farmers-variety-registered-ppvfra, Port Blair,Mango,Agriculture
Review Workshop on Mango Organized at Ranchi,26th February 2014,"The annual review-cum-training workshop (25-26th February, 2014) of NICRA project on ‘understanding host-pest interaction and dynamics in mango under climate change scenario’ was organized at ICAR Research Complex for Eastern Region, Research Centre, Ranchi.  In his address, Dr. A. Verghese, Director, National Bureau of Agriculturally Important Insects, Bengaluru and chairman of the event emphasized on appropriate documentation of effect of extreme weather events on population dynamics of mango. He suggested capturing the scenario of any pest outbreak in project domain. Dr. B.P. Bhatt, Director, ICAR-RCER, Patna stressed upon the need of inclusion of edaphic factors in sync with changing weather on emergence of pest of mango. Dr. M.S. Rao, Principal Scientist, CRIDA, Hyderabad called upon the project workers for weather focused approach during reporting of dynamics of any mango pest. A brainstorming session on blossom blight of mango was also conducted. Workers of the project were provided training on use of RTPS software for identification of insect pests and diseases of mango. Dr. Prakash Patil, Project Coordinator, AICRP on Fruits; Dr. B.R. Salvi, ADR, RFRS, Vengurla; Dr. Shivendra Kumar, Ex-PI and Head, RC, Ranchi along with 30 CCPIs and Project workers from all six centers viz., CISH, Lucknow; IIHR, Bengaluru; RFRS, Vengurla; FRS, Sangareddy; AES, Paria and NCIPM, New Delhi were present on the occasion. (Source: ICAR-RCER, Research Centre, Ranchi) ",https://www.icar.org.in/node/9205, Ranchi,Mango,Agriculture
Amazing Bio-diversity of Mango Showcased,"New Delhi,  03 July","With a magnificent heritage of over 4000 years, India hosts rich mango diversity having unique taste, flavor, texture and size. The Indian Council of Agricultural Research (ICAR) showcased some of the most notable traditional and hybrid mangoes in an exhibition arranged here. Exhibition was jointly organized by the Society for Development of Subtropical Horticulture, Central Institute of Subtropical Horticulture, Lucknow and National Agricultural Science Complex (NASC) residents’ welfare association at NASC complex, New Delhi.  There were 120 different varieties displayed at the exhibition. These include 60 varieties from North and 40 from South India. Twenty varieties developed by the Indian Agricultural Research Institute, New Delhi were also the point of attraction for visitors. SORA, a variety form Andhra Pradesh has the average fruit weight of 1010 gm and pulp content 67.70% and another variety from AP, Hamlet having an average fruit weight 898 gm were among the others varieties displayed in exhibition. A mango eating competition was also organized in the exhibition where a number of participants tasted the delicious and quality varieties of mangoes.  Dr. R.S. Paroda, Chief Guest, former Secretary, DARE and Director General, ICAR and Chairman, TAAS inaugurated the exhibition. In his inaugural speech, he expressed his concern over declining mango export from India in comparison to other Asian countries such as Philippines and Thailand.  He urged scientists to improve the different varieties of mango to compete in global market. He described the marketing and processing as the core issues for mango production. Dr. S. Ayyappan, Secretary, DARE and DG, ICAR called it a festive occasion and motivated participants to experience the exquisite taste of the novel varieties. Sh Rajiv Mehrishi, Additional Secretary, DARE and Secretary, ICAR also graced the occasion. Dr. Mangala Rai, former Secretary, DARE and Director General, ICAR and President, NAAS said that regions located near Equator can provide mango for almost eight months in a year. Andaman Island is one of such region. Scientists should take steps to grab this opportunity. (Source: NAIP sub-project on Mass Media Mobilization, DIPA) ",https://www.icar.org.in/node/1549, 2010,Mango,Agriculture
"National Workshop on ""Doubling the Income of Mango Growers in India""",-,"ICAR-Indian Institute of Horticultural Research, Bengaluru organized a National Workshop on ""Doubling the Income of Mango Growers in India"" during May 18-19, 2017.  The purpose of the workshop was to deliberate the issues in production, processing, marketing and export of Mango and to recommend a road map of issue-based strategies for doubling the income of mango growers It is proposed to prepare a roadmap out of the two-day deliberations, suggesting action points for all the stakeholders including the policy makers for implementation, so that the objective of the workshop will be achieved. An exhibition of more than 100 Mango varieties and accessions was organized for the benefit of stakeholders was also organised. Very specific group of selected participants (115) such as progressive farmers, researchers from ICAR institutes and State Agricultural Universities (SAUs) and Krishi Vigyan Kendras (KVKs), traders/exporters, officials of development departments and boards/ authorities, policy makers, etc., from Karnataka, Odisha, Gujarat, Bihar, Andhra Pradesh, Telangana, Maharashtra and Tamil Nadu participated in the workshop. (Source: ICAR-Indian Institute of Horticultural Research, Bengaluru) ",https://www.icar.org.in/node/10166,-,Mango,Agriculture
"QRT Meeting of ICAR-AICRP-Fruits on mango, Guava and Litchi ",11-13 April 2018,"Quinquenial Review Team meeting of AICRP -Fruits was held during April 11-13, 2018 at ICAR-Central Institute of Sub Tropical Horticulture, Lucknow. The objective of the meeting was to testing and recommending of location and need based technology depending on agro-climatic conditions. Meeting held under the Chairmanship of Padmashri Dr. K.L. Chadha. Dr. S. Rajan, Director, ICAR-CISH Lucknow briefed about recent achievements of AICRP. Dr. P. Patil, Project Coordinator ICAR-IIHR, Bengaluru submitted the AICRP Report in detail.  Progress made in 80 experiments of mango, guava and litchi were discussed in the meeting. Experts had interactions with progressive farmers associated with cultivation of mango, guava, litchi and other fruits. Farmers expressed concern for low price of Dashehari, insect, pest and disease of guava, and mango etc. (Source: ICAR-Central Institute of Sub Tropical Horticulture, Lucknow) ",https://www.icar.org.in/node/10202, Lucknow,Mango,Agriculture
"Minister of Agriculture, Goa Inaugurates Fodder Cafeteria and Mango Gene Bank: A Collaborative Initiative",16th October 2023,"Krishi Vigyan Kendra, South Goa, celebrated World Food Day today at Government Agriculture Farm Durga, Chinchinim, Goa.    Shri. Ravi Naik, Minister of Agriculture, was the Chief Guest of the event. The Minister inaugurated the Fodder cafeteria and Mango Gene Bank has been established in collaboration with ICAR- Central Coastal Agricultural Research Institute, Goa. Shri. Cruz Silva, MLA, Velim constituency, was the Guest of Honour. Shri. Nevil Alphonso, Director of Agriculture, Goa, is also present during the programme. The collaborative initiatives were taken up under the leadership of Dr. Parveen Kumar, Director, ICAR-CCARI, Goa, Shri. Nevil Alphonso. The dignitaries appreciated the collaborative efforts of ICAR- CCARI, Goa, and KVK, South Goa.  ICAR-CCARI, Goa is closely working in partnership with KVK and provided all the technical guidance in establishing a fodder cafeteria (25 fodder crops) and mango gene bank (32 varieties of Goan origin) at Durga Farm. The program was attended by 150 farmers. (Source: ICAR- Central Coastal Agricultural Research Institute, Goa) ",https://www.icar.org.in/minister-agriculture-goa-inaugurates-fodder-cafeteria-and-mango-gene-bank-collaborative-initiative, Goa,Mango,Agriculture
Rust Proofing Wheat Production - A Mega Study Finds Novel Sources of Disease Resistance in Wheat Germ-plasm,-," Ever since Green Revolution, India has never seen back in food grain production, thanks to the continuous efforts of agriculture scientists in crop improvement including making the new varieties more resistant to different diseases. One significant constraint to increased wheat production is the variety of rust diseases attacking this crop— leaf rust, stem rust and stripe rust. Sources of resistance to these diseases are known, and have been utilised by wheat breeders for a long time. However, achieving durable resistance can be difficult, and the rust diseases continue to evolve and circumvent the breeders' achievements. Rust is spreading in different wheat growing regions in recent past and The Food and Agriculture Organization of the United Nations (FAO) in Rome issued alerts about the three diseases on 3 February 2017. Rust returned to Europe with a big outbreak in Sicily in 2016, even the hardy durum wheat, used to make pasta, was found to be susceptible to it.   Scientists from ICAR in collaboration with agricultural universities have created a history by evaluating the entire wheat germplasm collection (~20,000 accessions) conserved in the Indian National Genebank at ICAR-National Bureaux of plant Genetic Resources, New Delhi. The findings of the study authored by 37 contributors have been published in ‘PLOS ONE’ http://dx.doi.org/10.1371/journal.pone.0167702). The results are of great practical significance keeping in view the continuous search of genes for breeding multiple rusts resistant wheat varieties. This is the first such well thought of experiment conducted ever on genebank collections of this magnitude.   Earlier, the entire wheat germplasm was characterised at a single site (2011-12) and core developed (DOI 10.1007/978-4-431-55675-6_4). This unprecedented initiative found an entry into Limca Book of Records in 2013.  The present study on evaluation discovered novel wheat germplasm resources carrying genes for resistance to all rusts and spot blotch diseases. 19,460 wheat accessions comprising three species of wheat - Triticum aestivum, T. durum and T. dicoccum and collected from within and outside the country were screened during the 2011-14 crop seasons sequentially at multiple disease hotspots, viz. Wellington (Tamil Nadu) for wheat rusts, Gurdaspur (Punjab) for stripe rust and Cooch Behar (West Bengal) for spot blotch. This led to shortlisting of potentially resistant accessions to multiple rusts (498 accs.) and spot blotch (868 accs.). Testing of the selected accessions for seedling resistance against seven virulent pathotypes (collected since 1930) of three wheat rusts under artificial epiphytotic conditions at Flowerdale, Shimla led to the identification of 137 accessions potentially resistant to multiple rusts. Molecular analysis added further value to the study and helped identify different combinations of genetic loci imparting resistance to leaf rust, stem rust, stripe rust and spot blotch. The resistant germplasm accessions, particularly against stripe rust, identified in this study can act as potential resources for integrating multiple disease resistance into the genetic background of high yielding wheat cultivars through conventional or molecular breeding approaches, thus ensuring food security at national and global levels. The study was funded by NICRA scheme of the ICAR. Another major scientific breakthrough of ICAR lead to the decoding of genomes of 15 strains of wheat rust fungus Puccinia triticina. It will aid in understanding the dynamic nature of this notorious wheat pathogen. The paper ""Draft genome of the wheat rust pathogen (Puccinia triticina)” published in  Genome Biology and Evolution unravels genome-wide structural variations during evolution     (http://gbe.oxfordjournals.org/content/8/9/2702.full.pdf+html). The study found certain ""host spot regions"" in the genomes of Race 77 which are vulnerable for reshuffling, leading to variability in it providing an insight about P. triticina plant fungal pathogen, with emphasis on the genome structure, organization, molecular basis of variation and pathogenecity. This genome information will be an important landmark research in India and will facilitate wheat improvement programme in the country. Dedicated Research Centre for Wheat Rust The Indian Institute of wheat and Barley Research has a dedicated Center at Flowerdale (Shimla) to work on all aspects of wheat rust as its major mandate. The monitoring, timely forecasting and adoption of preventive strategies have kept India free from any major outbreak of wheat rust for last many decades. A mild loss of 5 percent by wheat rusts can cause yield reduction of 3.5 million tonnes in India. It equals approximately to loss of Rs. 3500 cores. The timely detection of new variants and the identification of resistant material, thereafter, have prevented any major loss to wheat. The strong and vibrant programme of monitoring wheat rust virulences has paid rich dividends to the nutritional and food security of the country. Links to read more: http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0167702 http://www.dwr.res.in/sites/default/files/shimla.pdf http://www.icar.org.in/en/node/11603 http://rusttracker.cimmyt.org/?page_id=1509 (Source: Directorate of Knowledge Management in Agriculture, New Delhi) ",https://www.icar.org.in/node/4173,-,Wheat,Agriculture
Lr80 : A new and widely effective source of leaf rust resistance in wheat identified from India,-," landrace Hango-2, collected in 2006 from the Himalayan area of Hango, District Kinnaur, in Himachal Pradesh, exhibited a low infection type (IT;) at the seedling stage to all Indian P. triticina pathotypes, except the pathotype 5R9-7 which produced IT 3+. Pathotype 5R9-7(16-1) does not infect bread wheat cultivars, however, is virulent on tetraploid wheat Khapli. Pathotype 5R9-7 is not prevalent in nature for the last 15 years. Genetic analysis based on Agra Local/Hango-2-derived F3 families indicated monogenic control of leaf rust resistance, and the underlying locus was temporarily named LrH2. Bulked segregant analysis using 303 simple sequence repeat (SSR) markers located LrH2 in the short arm of chromosome 2D. An additional set of 10 chromosome 2DS-specific markers showed polymorphism between the parents and these were mapped on the entire Agra Local/Hango-2 F3 population. LrH2 was flanked by markers cau96 (distally) and barc124 (proximally). The 90 K Infinium SNP array was used to identify SNP markers linked with LrH2. Markers KASP_17425 and KASP_17148 showed association with LrH2. Comparison of seedling leaf rust response data and marker locations across different maps demonstrated the uniqueness of LrH2 and it was formally named Lr80. This is the 5th rust resistance gene reported from India (others being Lr10, Lr48, Lr49, Lr57, and Lr58). Lr80, is being used to develop rust resistant genetic stocks and wheat varieties. It will help in creating diversity and management of leaf rust in India. The manuscript is appearing in Theoretical and Applied Genetic Research doi.org/10.1007/s00122-020-03735-5. (Source:ICAR-Indian Institute of Wheat and Barley Research, Karnal, Haryana, India.) ",https://www.icar.org.in/lr80-new-and-widely-effective-source-leaf-rust-resistance-wheat-identified-india,-,Wheat,Agriculture
Stripe Rust (Yellow Rust) of Wheat control in major wheat growing states in rabi 2010-11,-,"(Source: Directorate of Wheat Research, Karnal) ",https://www.icar.org.in/node/5291,-,Wheat,Agriculture
Develop Effective Roadmap to Usher Another Revolution in Wheat Production-Harish Rawat,-,"New Delhi, 02 September, 2011 ‘Wheat Production in some states of India has large gaps in potential and realized yields. Some of the gaps can be filled up through development of infrastructure facilities, while the production related barriers can be effectively overcome through adoption of appropriate interventions and technologies. Officials of different states must quickly transfer the technology available in the national system to minimize these gaps ’, said Sh. Harish Rawat, Minister of State for Agriculture, Food Processing Industries & Parliamentary Affairs. He was inaugurating 50th All India Wheat and Barley Research Workers’ Meet (September 1-4, 2011) jointly organized by the ICAR institutes, Directorate of Wheat Research, Karnal  and the Indian Agricultural Research Institute, New Delhi. ‘World population is expected to reach more than 8 billion by 2030. In India, 95-100 million tones of wheat would be required to be produced to cover an estimated demand for 345 million tones of food grains in 2030. The need to produce more wheat has to be met with fewer resources in a sustainable and cost effective manner’, he added. He also urged agricultural scientists to work on expected onslaught of climate change so that challenges due to abiotic and biotic stresses can be addressed. ‘I am sure that this large group of wheat researchers from national and international systems gathered here will consider all the possible strategies to be faced by farmers across the country’, he said. Earlier, Dr S Ayyappan, Secretary, DARE and Director General, ICAR urged scientists to plan out the future for more wheat production.  He appreciated the multidisciplinary and multilocational coordinated trials and experiments that have enabled the country to harvest highest ever of 85.93 million tonnes of wheat during 2010-11. 
 Dr M V Rao, Former Special DG, ICAR discussed the different phases of wheat and barley improvement since green revolution. He stressed the importance of collaborative efforts between scientists and farmers for enhancing and maintaining food security in the country through technological interventions and policy support. Dr Indu Sharma, Project Director, DWR highlighted the leading role of DWR in national wheat and barley production systems. ‘This special event of golden jubilee meet will be utilized to have a free interaction and to develop strategies for enhancing productivity, quality and marketing prospects of wheat crop under changing climate condition’, she added. Dr Swapan K Dutta, Deputy Director General (Crop Scinece) and Dr H S Gupta, Director, IARI also graced the occasion. The Workshop which marks 50 years of most successful ever coordinated programme (All India Coordinated Wheat and Barley Improvement Project) in the country will deliberate on emerging issues and use the consensus among almost the entire wheat and barley fraternity to address these in a most effective manner. The meeting also has the benefit of participation by most of the past wheat and barley scientists, CGIAR institutions, ACIAR and the likes as much as that from the current international and national leaders in different disciplines including those from industry. Dignitaries released the publications brought out by DWR and honored former project directors of AICWBIP along with team awards. (Source-NAIP Sub-Project on Mass Media Mobilization, DKMA) ",https://www.icar.org.in/node/5486,-,Wheat,Agriculture
Madhya Pradesh Transformed into Wheat Growing Hub,-,"The soy state is turning over a new leaf. Now Madhya Pradesh has earned a name for its high wheat production and quality. Farmers of Madhya Pradesh are moving towards scientific farming with the help of KVK. They have slowly scripted a new success story by producing the best wheat in India. Amongst many farmers of the state, one from the Malwa region of Ujjain district has belied all the previous notions. When it comes to taste, quality and other attributes, Madhya Pradesh's Sharbati tops the charts in demand in the metros. The lustrous, golden grain commands premium price. Being re-christened golden or premium wheat in wholesale and retail markets of Mumbai, Pune, Ahmadabad and Hyderabad or simply, MP wheat in major North Indian markets like Delhi.         Shri Yogendra Kaushik (61) resident of village Ajdawada district Ujjain (M.P.) completed his education in ICE (Mech.) during 1970- 71. Instead of searching job, he intrinsically adopted farming on 9.5 ha. land. He struggled to do something innovative and get rid of the traditional system of farming where he could just harvest Soybean, Chickpea, and Wheat, the productivity of which was slightly higher than the district average i.e., Soybean (JS-335) in Kharif and Gram (Dollar) and Wheat (Lok-1) in Rabi season. And the mean production of both crops was near about 15 q./ha and 50-52 q./ha respectively. But after 35 years of endurance he came into contact with KVK in 2005. Since then his thought, vision and approach towards scientific farming changed. After attending series of trainings and exposure visits he could achieve that goal for which he dreamt for almost four decades. This could be a valuable example for all the farmers in adopting the scientific technologies. Mr. Kaushik being a contract farmer was in touch with KVK Ujjain and hence, amongst the various seed based technologies assessed; the most promising for wheat crop was the variety HI-8663 (Poshan). KVK was instrumental in making available 50 kg breeder seed from IARI, Indore. The crop was sown in the month of November with full package of practices. Krishi Vigyan Kendra (RVSKVV) Ujjain (M.P.) was instrumental in providing 50 kg breeder seed of wheat (Variety- HI- 8663) which was sown in the 0.4 ha land. Crop cutting was done in the presence of revenue officials, Patwari, SADO, RAEO and other local villagers who witnessed the bumper production of wheat (HI-8663) recording 95.32 q/ha.   Recently, Inter Governmental Panel on Climate Change (IPCC) report and several other studies indicate a probability of 10-40% loss in crop production in India and other countries of South Asia with increases in temperature by 2080-2100 and decrease in irrigation water. India could lose 4-5 million tons wheat production with every rise of 10 C temperature throughout the growing period even after considering carbon fertilization (but no adaptation benefits). HI 8663 (Poshan) is beneficial for farmers HI 8663 (Poshan) is a novel genotype characterized by excellent grain quality, high and stable yield. It can serve as a naturally bi-fortified food and can be used for ""dual purpose"", i.e., both for 'nutritive chapatti' and semolina, required for fast food preparation, because of its high β-carotene, high hectoliter weight, high SDS sedimentation value, higher protein content, high levels of micronutrients, lowest mottling (yellow berry incidence) and having better overall acceptability (7.0) for pasta. This variety was notified in May 2008 for cultivation under high fertility irrigated and timely sown conditions of Peninsular Zone. It is a widely adapted and high yielding variety, showing 1.4% to 28.4% yield superiority over checks MACS 2846, NIDW 295 and GW 1189. HI 8663 has shown good adaptation more number of tillers per sq. m, as compared to checks. It combines early maturity, tolerance to terminal heat stress. It ensures stability in wheat production and better yield even under deficient irrigation availability in Central Zone.     ",https://www.icar.org.in/node/2092,-,Wheat,Agriculture
Highlights of 45th All India Wheat and Barley Research Workers’ Meet – 2006,-,"The 45th All India Wheat and Barley Research Workers’ Meet was jointly organized by Directorate of Wheat Research, Karnal, Indian Institute of Pulse Research, Kanpur and Chandra Shekhar Azad University of Agriculture and Technology, Kanpur from 18-21 August, 2006. The main agenda of this Meet was to review the work done under the All India Coordinated Wheat and Barley Improvement Project during 2005-06 as well as to formulate the work plan for 2006-07. Dr. M.V. Rao, former Special D.G. ICAR inaugurated the Meet while the keynote address was delivered by Dr. G. Kalloo, DDG (CS&H). Over 250 delegates including wheat and barley scientists took part in the deliberations. The Meet was also attended by scientists from CIMMYT, Mexico and Nepal, farmers, persons from KVK, and private seed, fertilizers and agrochemical companies.
After reviewing the work done under the All India Coordinated Wheat and Barley Improvement Project during 2005-06, the following recommendations were made.
Identification of new high yielding disease resistant varieties 
The following new varieties of wheat, triticale and barley have been identified for different production conditions and area of adaptation: Irrigated timely sown condition New Network projects have been initiated for the following areas Production technology
The major recommendations made by the Resource Management group are as follows: Wheat Barley Crop protection The important recommendations made by the Crop Protection group are as follows: Quality Further studies on therapeutical/clinical aspects of dicoccum wheat should be carried out at Dharwad centre in association with recognized hospitals ",https://www.icar.org.in/node/2646,-,Wheat,Agriculture
Highlights of 45th All India Wheat and Barley Research Workers’ Meet – 2006,-,"The 45th All India Wheat and Barley Research Workers’ Meet was jointly organized by Directorate of Wheat Research, Karnal, Indian Institute of Pulse Research, Kanpur and Chandra Shekhar Azad University of Agriculture and Technology, Kanpur from 18-21 August, 2006. The main agenda of this Meet was to review the work done under the All India Coordinated Wheat and Barley Improvement Project during 2005-06 as well as to formulate the work plan for 2006-07. Dr. M.V. Rao, former Special D.G. ICAR inaugurated the Meet while the keynote address was delivered by Dr. G. Kalloo, DDG (CS&H). Over 250 delegates including wheat and barley scientists took part in the deliberations. The Meet was also attended by scientists from CIMMYT, Mexico and Nepal, farmers, persons from KVK, and private seed, fertilizers and agrochemical companies.
After reviewing the work done under the All India Coordinated Wheat and Barley Improvement Project during 2005-06, the following recommendations were made.
Identification of new high yielding disease resistant varieties
The following new varieties of wheat, triticale and barley have been identified for different production conditions and area of adaptation: Irrigated timely sown condition New Network projects have been initiated for the following areas Production technology
The major recommendations made by the Resource Management group are as follows: Wheat Barley Crop protection The important recommendations made by the Crop Protection group are as follows: Quality Further studies on therapeutical/clinical aspects of dicoccum wheat should be carried out at Dharwad centre in association with recognized hospitals ",https://www.icar.org.in/node/6298,-,Wheat,Agriculture
“Stakeholders’ Meet for Promotion of Wheat Export” organized,"11th May,  2022","The ICAR-Indian Institute of Wheat and Barley Research, Karnal, Haryana organized the “Interaction Meet with Stakeholders for Promotion of Wheat Export” here today. The Meet was organized in collaboration with the Agricultural and Processed Food Products Export Development Authority (APEDA), New Delhi and Society for Advancement of Wheat and Barley Research (SAWBAR), Karnal, Haryana.    Delivering the inaugural address, the Chief Guest, Dr. M Angamuthu, I.A.S. & Chairman, APEDA, New Delhi stressed on the need for the Wheat Exporters to establish “Indian Wheat Brand” and at the same time, to be one step ahead in the competition with the other exporting countries by strictly adopting the global standard and protocols. He also underlined the export of the Agri-products to the tune of 50 Billion USD during 2021-22 by India. The Guest of Honor, Dr. S.C. Dubey, ADG (Plant Protection & Bio-Safety), ICAR stressed that Karnal Bunt issue can be managed effectively by adopting the good agricultural practices and using the need-based fungicides in Wheat Crop. The Guest of Honor, Dr. D.D.K. Sharma, Director, BEDF (APEDA), New Delhi urged on identifying and notifying the Karnal Bunt free areas (Cluster-based Approach) across the country so that the Wheat exports can be increased, since, Karnal bunt disease is a major impediment in the Wheat exports. Dr. M.S. Chauhan, Director, ICAR-National Dairy Research Institute, Karnal, Haryana outlined the ethical issues in exporting any agricultural products. Earlier, welcoming the dignitaries, Dr. G.P. Singh, Director, ICAR-  briefed about the Institute and its strength in Wheat research & development. The Meet was aimed at creating the awareness among the Traders, Exporters, FPOs, Farmers, Policy Makers, Researchers and different Stakeholders engaged in Wheat research, production, procurement, policy making and export. More than 200 participants/ stakeholders engaged in wheat production, processing industries and export from Haryana, Punjab and Uttar Pradesh attended the programme. (Source: ICAR-Indian Institute of Wheat and Barley Research, Karnal, Haryana) ",https://www.icar.org.in/node/14306, Karnal,Wheat,Agriculture
